Date,temperature,humidity
2023-01-20 01:43,21.0,74
2023-01-20 02:43,20.9,74
2023-01-20 03:43,20.8,74
2023-01-20 04:43,20.7,74
2023-01-20 05:43,20.7,74
2023-01-20 06:43,20.6,74
2023-01-20 07:43,20.6,74
2023-01-20 08:43,20.6,75
2023-01-20 09:43,20.3,71
2023-01-20 10:43,19.9,68
2023-01-20 11:43,20.2,68
2023-01-20 12:43,20.6,66
2023-01-20 13:43,20.7,66
2023-01-20 14:43,20.8,67
2023-01-20 15:43,20.8,68
2023-01-20 16:43,20.7,69
2023-01-20 17:43,21.7,65
2023-01-20 18:43,22.9,62
2023-01-20 19:43,22.6,62
2023-01-20 20:43,22.7,61
2023-01-20 21:43,22.5,61
2023-01-20 22:43,22.8,60
2023-01-20 23:43,22.8,60
2023-01-21 00:43,21.9,61
2023-01-21 01:43,21.4,65
2023-01-21 02:43,21.1,67
2023-01-21 03:43,20.9,68
2023-01-21 04:43,20.7,69
2023-01-21 05:43,20.6,69
2023-01-21 06:43,20.5,70
2023-01-21 07:43,20.5,70
2023-01-21 08:43,20.5,72
2023-01-21 09:43,21.2,71
2023-01-21 10:43,20.2,69
2023-01-21 11:43,19.6,65
2023-01-21 12:43,19.6,65
2023-01-21 13:43,19.8,68
2023-01-21 14:43,20.0,70
2023-01-21 15:43,20.3,72
2023-01-21 16:43,20.2,72
2023-01-21 17:43,19.8,72
2023-01-21 18:43,21.2,71
2023-01-21 19:43,21.7,70
2023-01-21 20:43,22.0,72
2023-01-21 21:43,21.7,71
2023-01-21 22:43,21.3,70
2023-01-21 23:43,20.7,69
2023-01-22 00:43,20.2,69
2023-01-22 01:43,20.2,71
2023-01-22 02:43,20.1,72
2023-01-22 03:43,19.9,72
2023-01-22 04:43,19.7,72
2023-01-22 05:43,19.6,72
2023-01-22 06:43,19.4,72
2023-01-22 07:43,20.9,71
2023-01-22 08:43,21.8,67
2023-01-22 09:43,21.8,64
2023-01-22 10:43,21.3,58
2023-01-22 11:43,21.0,57
2023-01-22 12:43,20.2,58
2023-01-22 13:43,19.7,60
2023-01-22 14:43,20.0,65
2023-01-22 15:43,20.1,69
2023-01-22 16:43,19.7,69
2023-01-22 17:43,19.3,69
2023-01-22 18:43,20.9,68
2023-01-22 19:43,21.7,74
2023-01-22 20:43,21.5,70
2023-01-22 21:43,21.6,72
2023-01-22 22:43,21.8,73
